,BPM,headPos,headRotationY,timeStamp,x,y,z,head_positions
1602,1.0,"{'x': 0.32143235206604004, 'y': -0.01809951663017273, 'z': 0.16128873825073242}",261.3118896484375,113.57538032531738,0.32143235206604004,-0.01809951663017273,0.16128873825073242,"(0.32143235206604004, -0.01809951663017273, 0.16128873825073242, 27.81035804748535)"
1603,1.0,"{'x': 0.32076066732406616, 'y': -0.01691170036792755, 'z': 0.16423575580120087}",262.20391845703125,113.64169311523438,0.32076066732406616,-0.01691170036792755,0.16423575580120087,"(0.32076066732406616, -0.01691170036792755, 0.16423575580120087, 27.876670837402344)"
1604,1.0,"{'x': 0.32015565037727356, 'y': -0.010536223649978638, 'z': 0.17446807026863098}",269.7489929199219,113.70823097229004,0.32015565037727356,-0.010536223649978638,0.17446807026863098,"(0.32015565037727356, -0.010536223649978638, 0.17446807026863098, 27.943208694458008)"
1605,1.0,"{'x': 0.32447248697280884, 'y': -0.0015066079795360565, 'z': 0.19862115383148193}",286.739501953125,113.77625846862793,0.32447248697280884,-0.0015066079795360565,0.19862115383148193,"(0.32447248697280884, -0.0015066079795360565, 0.19862115383148193, 28.0112361907959)"
1606,1.0,"{'x': 0.3369090259075165, 'y': 0.009652398526668549, 'z': 0.22588326036930084}",307.17889404296875,113.84237289428711,0.3369090259075165,0.009652398526668549,0.22588326036930084,"(0.3369090259075165, 0.009652398526668549, 0.22588326036930084, 28.077350616455078)"
1607,1.0,"{'x': 0.3517809808254242, 'y': 0.018973886966705322, 'z': 0.244351327419281}",322.707763671875,113.90800285339355,0.3517809808254242,0.018973886966705322,0.244351327419281,"(0.3517809808254242, 0.018973886966705322, 0.244351327419281, 28.142980575561523)"
1608,1.0,"{'x': 0.36732494831085205, 'y': 0.029405413195490837, 'z': 0.25656014680862427}",335.46136474609375,113.97432136535645,0.36732494831085205,0.029405413195490837,0.25656014680862427,"(0.36732494831085205, 0.029405413195490837, 0.25656014680862427, 28.209299087524414)"
1609,1.0,"{'x': 0.3817819058895111, 'y': 0.04046033322811127, 'z': 0.2604328393936157}",344.6922302246094,114.0444450378418,0.3817819058895111,0.04046033322811127,0.2604328393936157,"(0.3817819058895111, 0.04046033322811127, 0.2604328393936157, 28.279422760009766)"
1610,1.0,"{'x': 0.3914506733417511, 'y': 0.047903306782245636, 'z': 0.2583545446395874}",351.00238037109375,114.10783386230469,0.3914506733417511,0.047903306782245636,0.2583545446395874,"(0.3914506733417511, 0.047903306782245636, 0.2583545446395874, 28.342811584472656)"
1611,1.0,"{'x': 0.3969087600708008, 'y': 0.05152107775211334, 'z': 0.25310373306274414}",355.5255126953125,114.17443084716797,0.3969087600708008,0.05152107775211334,0.25310373306274414,"(0.3969087600708008, 0.05152107775211334, 0.25310373306274414, 28.409408569335938)"
1612,1.0,"{'x': 0.39607441425323486, 'y': 0.054455939680337906, 'z': 0.24605189263820648}",358.0291748046875,114.24138641357422,0.39607441425323486,0.054455939680337906,0.24605189263820648,"(0.39607441425323486, 0.054455939680337906, 0.24605189263820648, 28.476364135742188)"
1613,1.0,"{'x': 0.38678833842277527, 'y': 0.058226920664310455, 'z': 0.2380799949169159}",357.2767028808594,114.30719566345215,0.38678833842277527,0.058226920664310455,0.2380799949169159,"(0.38678833842277527, 0.058226920664310455, 0.2380799949169159, 28.542173385620117)"
1614,1.0,"{'x': 0.37372538447380066, 'y': 0.06242033839225769, 'z': 0.2300196886062622}",355.96893310546875,114.37476539611816,0.37372538447380066,0.06242033839225769,0.2300196886062622,"(0.37372538447380066, 0.06242033839225769, 0.2300196886062622, 28.609743118286133)"
1615,1.0,"{'x': 0.3604356050491333, 'y': 0.06691493839025497, 'z': 0.22182121872901917}",355.3133239746094,114.44511795043945,0.3604356050491333,0.06691493839025497,0.22182121872901917,"(0.3604356050491333, 0.06691493839025497, 0.22182121872901917, 28.680095672607422)"
1616,1.0,"{'x': 0.35013628005981445, 'y': 0.07331400364637375, 'z': 0.21300345659255981}",356.3153991699219,114.5076961517334,0.35013628005981445,0.07331400364637375,0.21300345659255981,"(0.35013628005981445, 0.07331400364637375, 0.21300345659255981, 28.742673873901367)"
1617,1.0,"{'x': 0.3442656993865967, 'y': 0.07911472022533417, 'z': 0.20368248224258423}",359.36309814453125,114.57391166687012,0.3442656993865967,0.07911472022533417,0.20368248224258423,"(0.3442656993865967, 0.07911472022533417, 0.20368248224258423, 28.808889389038086)"
1618,1.0,"{'x': 0.34787899255752563, 'y': 0.08002850413322449, 'z': 0.1946697235107422}",7.17682409286499,114.64057922363281,0.34787899255752563,0.08002850413322449,0.1946697235107422,"(0.34787899255752563, 0.08002850413322449, 0.1946697235107422, 28.87555694580078)"
